"title","field_expo_lieu_value","field_expo_type_value","field_expo_dates_value","field_expo_dates_value2","field_expo_curator_value","field_expo_code_value","field_expo_note_value","field_expo_sous_titre_value","field_oeuvre_adresse_web_url","filenames"
"Les sentiers de la sculpture","Polo Club Saint-Tropez, France","groupe","2011-06-24T00:00:00","2011-10-03T00:00:00","Valérie Penven","2011-E-POLOCLUBSAINTTROPEZ","A l'occasion de l'exposition \"Les sentiers de la sculpture\" Miguel Chevalier présenta la sculpture en acier peint en orange \"Coronae Digitalis\" (2011)","Entre art contemporain et purs sangs",NULL,NULL
"Libérons la fleur !","Galerie Martine et Thibault de la Châtre, Paris (FRA)","groupe","2013-10-14T00:00:00","2013-10-14T00:00:00",NULL,"2013-E-PARISCHATRE",NULL,NULL,NULL,NULL
"Lisbonne","Lisbonne","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2009-E-LISBONNE","-","-",NULL,"2009-e-lisbonne-4.jpg,2009-e-lisbonne-3.jpg,2009-e-lisbonne-2.jpg,2009-e-lisbonne-1.jpg"
"Living Codes","PaciArte contemporary, Via Trieste 48, Brescia (ITA)","groupe","2010-12-18T00:00:00","2011-02-08T00:00:00","Domenico Quaranta","2010-E-PACIARTEBRESCIA","LIVING CODES - MIGUEL CHEVALIER, ALESSANDRO CAPOZZO, ALEX DRAGULESCU - GROUP SHOW IN GALLERY

PaciArte gladly presents the collective exhibition Living Codes. Miguel Chevalier, Alex Dragulescu, Alessandro Capozzo, curated by Domenico Quaranta. This show aims at investigating the life representation and the simulation of its processes through the work of three artists of different educations, origins and generations: the French artist Miguel Chevalier (born in Mexico, 1959), one of the pioneers of digital art; Alex Dragulescu (1977), of Romanian origins but of American adoption; and the Italian artist Alessandro Capozzo (aaaa).

The life’s processes simulation, together with the algorithmic generation of the image and the information’s visualization, is one of the most sound and durable lines of informatics research, having roots traceable up to the sixties. During an era of overwhelming informations, of artificially generated images that are surrounding us and of simulations that are increasingly confused with reality, the artistic research facing these themes reveals an extraordinary topicality.

From the end of the seventies, Miguel Chevalier is working on the creation of immersive and interactive settings, greenhouses and herbariums where artificial plants are growing and reacting to human presence. Disciple of Des Esseintes, antihero of A rébours, a masterpiece of literary decadence, Chevalier is not attracted by realism, giving to his plants a characteristic aesthetic, completely artificial and based on geometries, straight cuts and transparencies. Going backwards into the technological progress, his recent works make another turn toward an anti-realistic direction with the Fractal Flowers, fascinating and cruel floral geometries that he translates in animations, printings and sculptures.

His interest in simulating the inner life of genetics algorithms is shared by Alessandro Capozzo. His work, developed from the late nineties, is focussed on the generative potentials of programming languages, precisely on its possibilities of writing instructions that, once executed, will generate an infinite flow of images. It is a research starting up from the minimalism and the Process Art, that Capozzo translates in minimum and stark shapes, distant from the flamboyant chromaticism of Chevalier or from the apparent realism of the atomic microscope of Alex Dragulescu. Actually, his microbes, his viruses and his actinians are only beautiful deceptions. Interested in information’s visualization, Dragulescu (who is also a researcher at the Boston MIT Media Lab) searches for visual metaphors in which he can translate “entities” that are otherwise existing only within computers, bu t that are strongly penetrated inside our daily life and to which we now refer as if they were real: spam and computer viruses. The latter are actually codes with their own life, modeled to be very similar to their biological counterparts, of which Dragulescu is, for the first time, showing us their looks.

Le vernissage eut lieu le samedi 18 décembre à 18.00 heures. ",NULL,NULL,NULL
"Livre de la vie","Beyrouth (LBN)","perso","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-BEYROUTH","Installation interactive réalisée avec Claude Micheli
(musique) et Mâa (logiciel AAAseed), \"Biel expo\", Beyrouth (LBN)",NULL,NULL,NULL
"Logo and non logo","Thread waxing space gallery, New York (USA)","groupe","1994-01-01T00:00:00","1994-01-01T00:00:00",NULL,"1994-E-NEWYORK",NULL,NULL,NULL,NULL
"Lumière London","Oxford Circus, Festival Lumière London, Londres, (UK)","perso","2018-01-18T00:00:00","2018-01-21T00:00:00","Artichoke","2018-E-LONDONCIRCUS",NULL,NULL,NULL,NULL
"Machine Vision","Galérie Lélia Mordoch, 50 rue Mazarine, Paris (F)","perso","2019-03-29T00:00:00","2019-05-25T00:00:00",NULL,"2019-E-PARISMORDOCH",NULL,NULL,NULL,NULL
"Machins Machines","Donjon de Vez, Vez (FRA)","groupe","2000-01-01T00:00:00","2000-01-01T00:00:00",NULL,"2000-E-VEZ",NULL,NULL,NULL,NULL
"MACO Mexico 2006","Suzanne Tarasiève, Mexico (MEX)","groupe","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-MEXICO",NULL,NULL,NULL,NULL
"Made in Light!","À l’espace Fondation EDF, Paris 7ème; puis chez Christie’s, Paris 8ème.","groupe","2013-06-27T00:00:00","2013-06-30T00:00:00","Sylvie Girardet","2013-E-MUSEEHERBEPARIS","Dans la continuité de ses expositions consacrées à l’art optique, le Musée en Herbe a eu l’envie de proposer à des artistes une ampoule électrique géante créer par le designer Hervé Isle de Beauchaine, à interpréter avec talent.
Les 40 ampoules revisitées seront exposées au grand public à Paris et à La Fondation Victor Vasarely à Aix-en- Provence .
40 luminaires Basic de 62 cm de hauteur et de 40 cm de diamètre, seront confiés aux artistes qui les customiseront et les confieront au Musée en Herbe.
Un catalogue sera édité pour la vente. L’argent récolté sera reversé au profit du Musée en Herbe pour favoriser l’accessibilité des familles défavorisées à l’art et à la Fondation Vasarely en faveur de la restauration de ses fresques monumentales.

L'exposition eut lieu d'abord à l'espace Fondation EDF, Paris 7ème, du 27 juin à 18h au 30 juin 2013; puis chez Christie’s, Paris 8ème, du 2 au 4 juillet 2013.
",NULL,NULL,NULL
"Magie der zahl","Staatsgalerie Stuttgart, Konrad-Adenauer-Str.30-32 (DE)","groupe","1997-02-01T00:00:00","1997-05-19T00:00:00","Karin v. Maur","1997-E-STAATSGALERIE","Cette exposition englobant environ 400 tableaux, dessins, sculptures et installations multi-médiales va, pour la première fois, mettre en évidence, combien les artistes de notre siècle se sont occupés de façon intensive et diversifiée avec les chiffres, diagrammes et systèmes arithmétiques.",NULL,NULL,NULL
"Magie numérique","Centre culturel Aragon, Oyonnax (FRA)","groupe","2004-01-01T00:00:00","2004-01-01T00:00:00",NULL,"2004-E-OYONNAX",NULL,NULL,NULL,NULL
"Manimal","Musée d'art contemporain d'Herzliya, Herzliya (IL)","groupe","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-HERZLIYA",NULL,NULL,NULL,NULL
"Map Out","Loft 19 de la Galerie Suzanne Tarasiève, Paris (FRA)","groupe","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-PARISTARASIEVE",NULL,NULL,NULL,NULL
"Marine NANTES","Ecole régionale des beaux-arts, 5 rue Fénelon, angle rue du Moulin, 44000 Nantes (FRA)","perso","1991-05-06T00:00:00","1991-06-01T00:00:00","Ecole régionale des Beaux-Arts de Nantes/Direction J.-C. Latil","1991-E-NANTES",NULL,NULL,NULL,"img065.jpg,img263.jpg,img082.jpg,img158.jpg,1991-e-nantesv.jpg,scan0059.jpg"
"Marine NICE","Galerie Le Chanjour, 11, quai des Deux-Emmanuel 06300 Nice (FRA)","perso","1990-09-08T00:00:00","1990-10-13T00:00:00","Galerie Le Chanjour, Nice","1990-E-NICE","L'inauguration eut lieu le 08/09/1990à partir de 18,30.",NULL,NULL,"1990-e-nicev.jpg"
"Marine RENNES","Galerie Joseph Dutertre, Rennes (FRA)","perso","1990-01-01T00:00:00","1990-01-01T00:00:00","Galerie du Tertre, Rennes","1990-E-RENNESDUTERTRE","-","-",NULL,NULL
"Marseille","Marseille","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2010-E-MARSEILLE","-","-",NULL,"2010-e-marseille-7.jpg,2010-e-marseille-6.jpg,2010-e-marseille-5.jpg,2010-e-marseille-4.jpg,2010-e-marseille-3.jpg,2010-e-marseille-2.jpg,2010-e-marseille-1.jpg"
"Massivement par@llèle","Institut Français, Diemershaldenstr. 11, Stuttgart (AL)","perso","1997-12-15T00:00:00","1998-01-29T00:00:00",NULL,"1997-E-STUTTGARTINSTFR",NULL,NULL,NULL,NULL
"Massivement par@llèle 1,2,3 & 4","Havas Website","perso","1998-02-10T00:00:00","1998-02-20T00:00:00",NULL,"1998-E-HAVASWEBSITE","Série de 13 oeuvres pour l'espace virtuel du site internet d'havas",NULL,NULL,NULL
"Massivement parallèle CLERMONT FERRAND","Galerie Gastaud, Clermont-Ferrand (FRA)","groupe","1998-03-11T00:00:00","1998-04-30T00:00:00","Claire Gastaud","1998-E-CLERMONTFERRANDFESTIVAL","Exposition organisée dans le cadre du festival de Vidéoformes.

Avec cette exposition Miguel Chevalier poursuit ses recherches entre la peinture et \"les nouvelles images\". Son travail, depuis 1985 s'est considérablement diversifié dans ses formes d'apparition, combinant toute la palette des types d'\"images\" possibles (analogiques et numériques) : fixes ou en mouvement, bi ou tridimensionnelles, réelles ou virtuelles, construites ou ou aléatoires...


Oeuvres exposées:
Turbulences numériques; 
Interconnexion, 1992; 
Fenêtre mémoire, 1988; 
Paysage urbain, 1,2,3,4 1992; 
Etat binaire, 1990; 
Réseaux, 1,2,3,4,5,6,7,8,9, 1998.
",NULL,NULL,NULL
"Mc Donald's vu par…, La Danse des Pixels","Galerie des Pas Perdus, Gare Saint-Lazare, Paris (FRA)","groupe","1999-01-04T00:00:00","1999-01-17T00:00:00","Galerie des Pas Perdus","1999-E-PARISPPERDUS","Installation interactive \"La Danse des Pixels\".
",NULL,NULL,"1999-e-mcdoinvitint2.jpg,1999-e-mcdoinvitint1.jpg"
"Mec-Art-Techno-Pub","Galerie Krief, Paris (FRA)","groupe","1989-01-01T00:00:00","1989-01-01T00:00:00",NULL,"1989-E-PARIS",NULL,NULL,NULL,NULL
"Mec-Art-Techno-Pub","Galerie Le Chanjour, Nice (FRA)","groupe","1989-01-01T00:00:00","1989-01-01T00:00:00",NULL,"1989-E-NICE2",NULL,NULL,NULL,NULL
"Mémoires & Mutations","Centre d'art contemporain La Fabrika, Imprimerie catholique, Achrafieh, Beyrouth (LBN)","perso","1999-09-27T00:00:00","1999-10-01T00:00:00","AFAA, Académie libanaise des Beaux-Arts-Université de Balamand, Centre Culturel Français de Beyrouth","1999-E-BEYROUTH","L'inauguration/vernissage eut lieu le 27/09/1999 à 18,00 heures. ",NULL,NULL,NULL
"Mémoires & mutations","Institut Français d'architecture, Paris (FRA)","groupe","2000-01-01T00:00:00","2000-01-01T00:00:00",NULL,"2000-E-PARISARCHI",NULL,NULL,NULL,NULL
"Mémoires & Mutations","La Tête d'Obsidienne-Fort Napoléon, La Seyne-sur-Mer (FRA)","perso","2000-01-01T00:00:00","2000-01-01T00:00:00",NULL,"2000-E-SEYNESURMER",NULL,NULL,NULL,NULL
"Méta-Territoires 2015","Galerie Fernand Léger, Ivry-sur-Seine (France)","perso","2015-10-02T00:00:00","2015-12-19T00:00:00",NULL,"2015-E-IVRYLEGER","Le vernissage a eu lieu le 1er octobre 2015 de 18h à 21h",NULL,NULL,"img_1959.jpg,img_1939.jpg"
"Métacités","Galerie Suzanne Tarasiève, Paris (FRA)","perso","2004-01-01T00:00:00","2004-01-01T00:00:00",NULL,"2004-E-PARISTARASIEVE",NULL,NULL,NULL,NULL
"Métacités","Galerie Thinkingprints, Bruxelles (BEL)","perso","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-BRUXELLESGALERIE",NULL,NULL,NULL,NULL
"Metamorphosis of the Virtual ","chi K11 art space, B3, Shanghai K11 Art Mall, China","groupe","2014-07-05T00:00:00","2014-08-31T00:00:00","David Rosenberg & Joanne Kim 金柱元( K11 Art Foundation)","2014-E-SHANGAI","Initiated by K11 Shanghai, Metamorphoses of the Virtual 5 + 5 is an exhibition gathering major works of digital art from chinese and french artists, emergent or already internatonally recognized. Curated by David Rosenberg, this exhibition is part of a program developped by K11 for the 50th anniversary of french-chinese diplomatic relations, including among other events a major Claude Monet exhibition and an exhibition in collaboration with Palais de Tokyo in Paris.

\"Metamorphosis of the virtual\" is an expression originally created by the french writer and philosopher Christine Buci-Glucksmann in an essay she wrote about Pia MYrvoLD, one of the participating artists of the exhibition. Apart from his evocative and poetic qualities, it suggest that we deal with an artistic substance that is \"alive\" and in constant changes. The idea of metamorphosis engages us in an endless and generative process or story.

Despite the fact that new technologies and internet have taken a central place in our daily life and society, digital art remains in a paradoxal way quite confidential. It's concerning very few artists either in France or China. These creators all belong to the same group of pioneers and visionary artists who share the certitude that digital world potentially contains new ways of making and perceiving art ; a philosophy which is in tune with K11 vision of Art.

Conceived as multi-sensorial experience - physical, spiritual and emotional at the same time -, this exhibition emphasize on spectacular immersive and interactive installations, some of the works been especially developped for K11 exhibition space. It will allow the audience to explore and experiment five areas and research and creativity : Flux / Life Forms / Cityscape / Morphogenetic / Avatar.
Also conceived as a cultural dialogue, it aims to build bridges between two different cultures.

K11 ART SPACE
B3, K11 Art Mall,
300 Huaihai Zhong Lu,
Shanghai, China

The Origin of the World 2014, Miguel Chevalier
Music : Jacopo Baboni Schilingi
Generative and interactive virtual-reality installation
Projection on a curve space
Softwares: Cyrille Henry and Antoine Villeret 

The Origin of the World 2014 is inspired by the world of biology, microorganisms and cellular automata. Cells multiply in abundance, divide, and merge in sometimes slow, sometimes rapid rhythm. Everything comes together, comes apart, and changes shape at top speed and when the viewer moves, the trajectory of the cells is disrupted.  	
These organic universes mingle sometimes with constructivist universes made up of pixels. These unstable, black-and-white megapixel tableaux gradually give way to vivid, color-saturated spirals. An organic world or a pixilated one, this artificial universe somehow seems to meet up with the universe of living beings. This is a new kind of “technological Baroque” art that gives form to the formless while perpetually replenishing itself. 
Sinuously rippling curves bring back to life the artificial paradises of the Nineteen Seventies.  They create unprecedented visual experiences that are not unreminiscent of psychedelic universes.


Avec les artistes (China) Aaajiao, Feng Membo波, Miao Xiaochun, Tsang Kin-Wah, Zheng Da (France) Maurice Benayoun, Miguel Chevalier, Pascal Haudressy, Pia MYrvoLD, ORLAN
",NULL,NULL,NULL
"Metapolis","Atelier Ivry","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2008-E-IVRYMETAPOLIS","-","-",NULL,"2008-e-ivrymetapolis-1.jpg,2008-e-ivrymetapolis-2.jpg,2008-e-ivrymetapolis-3.jpg,2008-e-ivrymetapolis-4.jpg"
"Métapolis","Museo de arte contemporaneo, Monterrey (MEX)","perso","2002-01-01T00:00:00","2002-01-01T00:00:00",NULL,"2002-E-MONTERREY","Avec Jacopo Baboni-Schilingi (musique), Jean-Pierre Balpe et Mâa
(logiciel AAAseed).",NULL,NULL,NULL
"Miguel Chevalier","Centre d'art contemporain Artère, 24, rue d'Aguessau, 92100 Boulogne-Billancourt (FRA)","perso","1998-09-16T00:00:00","1998-11-16T00:00:00","Centre d'art contemporain Artère","1998-E-BOULOGNEBILLANCOURT",NULL,NULL,NULL,"1998-e-boulogneinvit.jpg,1998-e-boulogneinvitr.jpg"
"Mondial","Grimaldi Forum, Monaco (MCO)","groupe","2001-01-01T00:00:00","2001-01-01T00:00:00",NULL,"2001-E-MONACO",NULL,NULL,NULL,NULL
"Montluçon Art Mobile","Fonds d'art moderne et contemporain, 25 rue des Faucheroux, 03100 Montluçon, France","groupe","2019-04-12T00:00:00","2019-06-02T00:00:00","Marie-Laure Desjardins","2019-E-MONTLUCON",NULL,NULL,NULL,NULL
"More Light!","Association for Culture and Education KIBLA, Maribor (SVN)","groupe","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-MARIBOR",NULL,NULL,NULL,"2010-e-maribor-1.jpg,2010-e-maribor-2.jpg,2010-e-maribor-3.jpg,2010-e-maribor-4.jpg,2010-e-maribor-5.jpg,2010-e-maribor-6.jpg"
"Mosaïques","Espace Jules Vernes, Brétigny-sur-Orge","perso","1989-01-01T00:00:00","1989-01-01T00:00:00",NULL,"1989-E-BRETIGNY1",NULL,NULL,NULL,NULL
"Moscou","Moscou","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2008-E-MOSCOU","-","-",NULL,"2008-e-moscou-1.jpg"
"Mouvement et lumière","Villa Datris, L'Isle-sur-la-Sorgue","groupe","2012-04-07T00:00:00","2012-11-04T00:00:00",NULL,"2012-E-ISLESSORGUE","L'exposition Mouvement et Lumière est un voyage dans l'histoire de l'art cinétique et optique. Au total 85 œuvres de différents artistes illustrent le thème du mouvement et de la lumière. Miguel Chevalier présente les créations de réalité virtuelle Herbarius 2059 et Fractal Flowers, ainsi que les sculptures Fractal Flowers et les oeuvres lumineuses Pixels Infini.
",NULL,NULL,"2012-e-islessorgue-1.jpg,2012-e-islessorgue-2.jpg,2012-e-islessorgue-3.jpg"
"Multi-écrans","Exposition on-line, www.enviedart.com, Paris (FRA)","perso","2000-09-21T00:00:00","2000-10-21T00:00:00","enviedart.com","2000-E-PARISONLINE","16 estampes numériques originales",NULL,NULL,"2000-e-parisonlinev.jpg"
"Mumbai","Mumbai","perso","2007-01-01T00:00:00","2007-01-01T00:00:00","-","2007-E-MUMBAI","-","-",NULL,"2007-e-mumbai-4.jpg,2007-e-mumbai-2.jpg,2007-e-mumbai-3.jpg,2007-e-mumbai-5.jpg,2007-e-mumbai-1.jpg"
"Mutatio","Garage Amelot, 2 passage Saint Pierre Amelot, 75011 Paris","groupe","2019-10-15T00:00:00","2019-10-19T00:00:00","Franck James Marlot","2019-E-PARISAMELOT","Le vernissage eut lieu le 12/10/2019.
www.mutation.art
https://www.fiac.com/agenda/a-paris-pendant-la-FIAC/mutatio/",NULL,NULL,NULL
"Mutations de l'image","Vidéothèque, Paris (FRA)","groupe","1994-01-01T00:00:00","1994-01-01T00:00:00",NULL,"1994-E-PARISVIDEOTHEQUE",NULL,NULL,NULL,NULL
"Narcisse blessé","Passage de Retz, Paris (FRA)","groupe","2000-01-01T00:00:00","2000-01-01T00:00:00",NULL,"2000-E-PARISRETZ",NULL,NULL,NULL,NULL
"Natural / Digital","Biche de Bere Gallery, Paris (FRA)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-PARISBICHE2",NULL,NULL,NULL,NULL
"Natural Digital","Fondation Vasarely, Aix-en-Provence (FRA)","groupe","2007-01-01T00:00:00","2007-01-01T00:00:00",NULL,"2007-E-AIXENPROVENCE",NULL,NULL,NULL,NULL
"Nature de synthèse","Galerie du Cirque, 23 rue du Cirque, 75008 Paris (FRA)","perso","1998-03-12T00:00:00","1998-04-30T00:00:00","Galerie du Cirque, Sylvana Lorenz","1998-E-PARISCIRQUE",NULL,NULL,NULL,"1998-e-pariscirquelorenz.jpg,1998-e-pariscirqueint.jpg"
"New Lights","Galerie François Léage, 178 rue du Faubourg Saint-Honoré, 75008 Paris (F)","groupe","2018-04-05T00:00:00","2018-06-30T00:00:00","Louis Amar","2018-E-PARISLEAGE",NULL,"Dialogue entre les éclaireurs du XVIIIe siècle et de l'art contemporain",NULL,NULL
"Nos années 80","Fondation Cartier, Jouy-en-Josas (FRA)","groupe","1989-06-16T00:00:00","1989-11-05T00:00:00","-","1989-E-JOUY-EN-JOSAS","Exposition culturelle rétrospective sur les années 80 réalisée par la Fondation Cartier : presse, art plastique, architecture, photo, design, en rapport avec l'actualité.","-",NULL,NULL
"Nouvelles images","Grande Halle de la Vilette, Paris","groupe","1986-01-01T00:00:00","1986-01-01T00:00:00",NULL,"1986-E-PARIS",NULL,NULL,NULL,NULL
"Nuage Fractal ","Château de Dravert / Galerie Barnoud, La Guiche ","perso","2012-06-23T00:00:00","2012-09-08T00:00:00",NULL,"2012-E-DRAVERT","Depuis 2003, la Galerie Barnoud a entrepris de réunir un ensemble d’oeuvres dans le parc du Château de Dravert. L’exposition Nuage Fractal est l’occasion de découvrir la sculpture Réseau Fractal Tenségrité installée en 2007, ainsi que la sculpture Fractal Flowers.
Sont également présentées dans les communs du château une série d’oeuvres fixes sur le thème des réseaux.
",NULL,NULL,"2012-e-dravert-10.jpg,2012-e-dravert-9.jpg,2012-e-dravert-8.jpg,2012-e-dravert-7.jpg,2012-e-dravert-6.jpg,2012-e-dravert-5.jpg,2012-e-dravert-4.jpg,2012-e-dravert-3.jpg,2012-e-dravert-2.jpg,2012-e-dravert-1.jpg,2012-e-dravert-11.jpg"
"Objets d'artistes","Galerie Krief, Paris (FRA)","groupe","1992-01-01T00:00:00","1992-01-01T00:00:00",NULL,"1992-E-PARISKRIEF",NULL,NULL,NULL,NULL
"Olimpicos 92","Palau Moya, Barcelone (ESP)","groupe","1992-01-01T00:00:00","1992-01-01T00:00:00",NULL,"1992-E-BARCELONEMOYA",NULL,NULL,NULL,NULL
"Oltrefoto","Museo Ken Damy, Brescia (ITA)","groupe","1992-01-01T00:00:00","1992-01-01T00:00:00",NULL,"1992-E-BRESCIA",NULL,NULL,NULL,NULL
"On a marché sur la terre","Centre d'art de l'Yonne, Commun du château de Tanlay (FRA)","groupe","2009-06-06T00:00:00","2009-09-27T00:00:00","Centre d'art de l'Yonne","2009-E-TANLAY","Avec un titre en clin d’œil à l’album d’Hergé pour ce 40ème anniversaire du
premier pas de l’Homme sur la lune, cette exposition propose de confronter les
différents regards que les artistes contemporains portent sur notre planète. Si
en leur temps les grands explorateurs que furent Christophe Colomb, Vasco de
Gama et Magellan contribuèrent à la découverte de nouveaux territoires
terrestres dont ils donnèrent, par le biais des cartes, une image plus précise,
d’autres problématiques aujourd’hui voient le jour. La conquête spatiale, les
visions par satellites, le tourisme de masse, les nouvelles technologies,
l’écologie ont modifié le regard que nous portons sur la Terre, ce que les
artistes de cette exposition endossant tour à tour le rôle du cartographe, de
l’explorateur, de l’astronaute ou du touriste ne manquent pas de pointer. ",NULL,NULL,NULL
"Onde Pixel","Unicredit Pavilion, Piazza Gae Aulenti, 10, 20124 Milan, (ITA)","perso","2016-07-26T00:00:00","2016-08-28T00:00:00","UniCredit","2016-E-UNICREDITMILAN","Le vernissage eut lieu le 25/07/2016.","Lo sguardo di un artista contemporaneo sulla collezione d'arte UniCredit",NULL,NULL
"Orbites, 2019","Beaugrenelle Paris, Atrium Magnetic, 12 rue Linois, Paris 75015","perso","2019-09-12T00:00:00","2019-11-07T00:00:00","Jérôme Neutres","2019-E-PARISBEAUGRENELLE","Coordination: Büro Constance Breton/Production technique: Voxels Productions",NULL,NULL,NULL
"Origine du Monde 2017","Festival VIA, Espace sculfort, Maubeuge (FRA)","perso","2017-11-10T00:00:00","2017-11-19T00:00:00",NULL,"2017-E-MAUBEUGE","Performance acoustique et visuelle - Pascal Contet & Miguel Chevalier",NULL,NULL,NULL
"Oro negro COLOMBIA","Museo de arte universidad nacional de Colombia, Bogota (COL)","perso","1994-01-01T00:00:00","1994-01-01T00:00:00",NULL,"1994-E-BOGOTA",NULL,NULL,NULL,NULL
"Oro negro MEXICO","Museo de arte Alvar y Carmen T. de Carrillo Gil, Mexico (MEX)","perso","1996-01-01T00:00:00","1996-01-01T00:00:00",NULL,"1996-E-MEXICOMUSEE",NULL,NULL,NULL,NULL
"Oro negro VENEZUELA CARACAS"," Museo de artes visuales Alejandro Otero, Caracas (VEN)","perso","1993-01-01T00:00:00","1993-01-01T00:00:00",NULL,"1993-E-CARACAS",NULL,NULL,NULL,NULL
"Oro negro VENEZUELA MARACAÏBO","Museo de bellas artes, Maracaïbo (VEN)","perso","1993-01-01T00:00:00","1993-01-01T00:00:00",NULL,"1993-E-MARACAIBO",NULL,NULL,NULL,NULL
"Oro negro VENEZUELA PUERTO LA CRUZ","Centro de arte contemporaneo de Corpoven, Puerto la Cruz (VEN)","perso","1993-01-01T00:00:00","1993-01-01T00:00:00",NULL,"1993-E-PUERTOLACRUZ",NULL,NULL,NULL,NULL
"Otra natura","Centro nacional de las artes - Centro multimedia, Mexico (MEX)","perso","1996-02-16T00:00:00","1996-03-21T00:00:00",NULL,"1996-E-MEXICOCENTRE",NULL,NULL,NULL,"1996otranatura-5.jpg,1996otranatura-4.jpg,1996otranatura-3.jpg"
"Pacaembù - Uma réplica planetaria para a cidade/mundo de Sao Paulo ","Oficina Cultural Oswald de Andrade, Sao Paulo (BRA)","groupe","1999-01-01T00:00:00","1999-01-01T00:00:00",NULL,"1999-E-SAOPAULO",NULL,NULL,NULL,NULL
"PAD Paris,  la Galerie Priveekollektie","Jardin des Tuileries à Paris","groupe","2012-01-01T00:00:00","2012-01-01T00:00:00",NULL,"2012-E-PARISPADPRIVEEKOLLEKTIE","PAD Paris, avec la Galerie Perimeter et la Galerie Priveekollektie, Jardin des Tuileries, Paris (FRA)",NULL,NULL,"2012-e-parispadpriveekollectie-1.jpg,2012-e-parispadpriveekollectie-2.jpg"
"PAD Paris,  la Galerie Priveekollektie","Paris","groupe","2013-10-14T00:00:00","2013-10-14T00:00:00",NULL,"2013-E-PARISPAD",NULL,NULL,NULL,NULL
"PAD Paris, avec la Galerie Perimeter ","Jardin des Tuileries à Paris","groupe","2012-01-01T00:00:00","2012-01-01T00:00:00",NULL,"2012-E-PARISPADPERIMETER","PAD Paris, avec la Galerie Perimeter et la Galerie Priveekollektie, Jardin des Tuileries, Paris (FRA)",NULL,NULL,"2012-e-parispadperimeter-2.jpg,2012-e-parispadperimeter-3.jpg,2012-e-parispadperimeter-4.jpg,2012-e-parispadperimeter-5.jpg,2012-e-parispadperimeter-1.jpg"
"PAD – Art and Design","Jardin des Tuileries, 	Paris ","groupe","2014-03-27T00:00:00","2014-03-30T00:00:00",NULL,"2014-E-PARISPAD","Exposition avec la Galerie Priveekollektie ",NULL,NULL,NULL
"Papiers à lettres","Le Musée de la Poste, Galerie d'Orsay, Paris (FRA)","groupe","1995-01-01T00:00:00","1995-01-01T00:00:00",NULL,"1995-E-PARISMPOSTE",NULL,NULL,NULL,NULL
"Par amour","Les docks - 45 quai Rambaud Lyon (FRA)","perso","2005-09-12T00:00:00","2005-12-31T00:00:00",NULL,"2005-E-LYONART45","La conception de cette exposition est d'animer et de rendre attractif ce site, proche de la Biennale intégrera une flexibilité, des surprises, des événements du 12 Septembre à fin décembre. Chaque oeuvre présentée pourra être exposée une soirée, une semaine, un mois. Artistes présents :   G.  Adilon / S.Barré / C. Bart / D. Beguet / G. Bertholon / R. Bezy / E. Bossut  / S. Braconnier / D. Buren / P. Carré / L. Chemrin / M. Chevalier / JG. Coignet / K. De Koning / P. Downbrought / C. Floquet / G. Friedman / M. Geerlinks / P. Hamel / M. Kasimir / A. Kitahara / B. Lavier / V. Leroy / F. Morellet / M. Moutashar mp et mp rosado / A. Musso / JC. Nourisson / T O'riley / F. Perrodin / A. Petri / G. Portali / V. Prud'homme / S. Reyes / C. Robert-Tissot / M. Schmied / M. Savini / J. Sorrel / J. Tabarra / J. Susplugas / F. Varini / M. Verjux / V. Verstraete / J. Vieille / K. Visser / T. White
","Résonance / Biennale d'art contemporain de  Lyon 2005",NULL,"2005-e-lyonart45-3.jpg,2005-e-lyonart45-1.jpg,2005-e-lyonart45-2.jpg"
